count,groupMetadataID,start_time,end_time,nummsgs,filebase,folder,vehilceID,experimentID
1,3a116996-93a9-11ee-956e-9da2d070324c,1.67416E+18,1.67416E+18,1855470,/Deployment_2_SEOhio/Blue Route/OU Pacifica/1674155613/20230119141333.record.00000,/Deployment_2_SEOhio/Blue Route/OU Pacifica/1674155613/20230119141333.record.00000,OUPacifica,13
2,2837eb9c-9542-11ee-956e-9da2d070324c,1.68331E+18,1.68332E+18,1149980,/Deployment_2_SEOhio/Blue Route/OU Pacifica/1684354335/20230505150652.record.00000,/Deployment_2_SEOhio/Blue Route/OU Pacifica/1684354335/20230505150652.record.00000,OUPacifica,1
3,da853e0c-a10f-11ee-981c-d126ddbe9afa,1.68478E+18,1.68478E+18,459295,/Deployment_2_SEOhio/Blue Route/OU Pacifica/1684733733/20230522131549.record.00000,/Deployment_2_SEOhio/Blue Route/OU Pacifica/1684733733/20230522131549.record.00000,OUPacifica,2
4,154fab12-a43f-11ee-88ec-eb6a8d5269b4,1.68478E+18,1.68478E+18,559423,/Deployment_2_SEOhio/Blue Route/OU Pacifica/1684733734/20230522133221.record.00000,/Deployment_2_SEOhio/Blue Route/OU Pacifica/1684733734/20230522133221.record.00000,OUPacifica,3
7,ba6e1072-9524-11ee-956e-9da2d070324c,1.68554E+18,1.68554E+18,463801,/Deployment_2_SEOhio/Blue Route/OU Pacifica/1684334963/20230531095500.record.00000,/Deployment_2_SEOhio/Blue Route/OU Pacifica/1684334963/20230531095500.record.00000,OUPacifica,4
11,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,1.68617E+18,1.68617E+18,160256,/Deployment_2_SEOhio/RedRoute/OU Pacifica/1686120563/20230607154102.record.00000,/Deployment_2_SEOhio/RedRoute/OU Pacifica/1686120563/20230607154102.record.00000,OUPacifica,5
53,f6ac3c82-a445-11ee-88ec-eb6a8d5269b4,1.69282E+18,1.69282E+18,237926,/Deployment_2_SEOhio/Blue Route/OU Pacifica/1692815820/20230823143700.record.00000,/Deployment_2_SEOhio/Blue Route/OU Pacifica/1692815820/20230823143700.record.00000,OUPacifica,14
72,58263e34-a45c-11ee-88ec-eb6a8d5269b4,1.69445E+18,1.69445E+18,1953223,/Deployment_2_SEOhio/Blue Route/OU Pacifica/1694450559/20230911124228.record.00000,/Deployment_2_SEOhio/Blue Route/OU Pacifica/1694450559/20230911124228.record.00000,OUPacifica,7
80,6d2ea45a-c839-11ee-a7fc-dd032dba19e8,1.69462E+18,1.69463E+18,1816742,/Deployment_2_SEOhio/RedRoute/OU Pacifica/1694623469/20230913124429.record.00000,/Deployment_2_SEOhio/RedRoute/OU Pacifica/1694623469/20230913124429.record.00000,OUPacifica,11
84,8b0593cc-cb4e-11ee-909c-e1dc60cf66f9,1.69472E+18,1.69472E+18,910221,/Deployment_2_SEOhio/GreenRoute/OU Pacifica/1694718634/20230914151034.record.00000,/Deployment_2_SEOhio/GreenRoute/OU Pacifica/1694718634/20230914151034.record.00000,OUPacifica,9
86,c335d84c-a45c-11ee-88ec-eb6a8d5269b4,1.69505E+18,1.69506E+18,1892935,/Deployment_2_SEOhio/Blue Route/OU Pacifica/1695054362/20230918122602.record.00000,/Deployment_2_SEOhio/Blue Route/OU Pacifica/1695054362/20230918122602.record.00000,OUPacifica,8
90,8fa6fe80-c869-11ee-a7fc-dd032dba19e8,1.69523E+18,1.69523E+18,2002226,/Deployment_2_SEOhio/RedRoute/OU Pacifica/1695227194/20230920122634.record.00000,/Deployment_2_SEOhio/RedRoute/OU Pacifica/1695227194/20230920122634.record.00000,OUPacifica,12
